lambda,keygen time/s,encryption time/s,decryption time/s,total time/s,ciphertext length in bits
2,0.00031263113021850586,0.00022208213806152344,0.0,0.0005347132682800293,3871.28
3,0.00037750959396362307,0.0003124237060546875,0.0,0.0006899333000183105,3663.48
4,0.0003128242492675781,0.0003124809265136719,0.0,0.0006253051757812501,3871.12
5,0.0004739236831665039,0.00027735233306884765,0.0,0.0007512760162353515,4167.83
6,0.0006252455711364746,0.0001562356948852539,0.0,0.0007814812660217284,4492.83
7,0.0003124189376831055,0.00046866416931152344,0.0,0.000781083106994629,4826.56
8,0.00046877384185791017,0.00022162437438964842,0.0,0.0006903982162475585,5161.69
9,0.0009381461143493652,6.546735763549804e-05,0.0,0.0010036134719848633,5495.61
10,0.0008461713790893554,0.0001337122917175293,2.2864341735839843e-06,0.0009821701049804689,5827.25
11,0.0006969904899597168,0.0005320024490356446,1.0955333709716798e-05,0.0012399482727050782,6154.91
12,0.001067824363708496,0.0001711606979370117,0.0,0.0012389850616455077,6479.52
13,0.0003722620010375977,0.0007105398178100585,0.0,0.0010828018188476563,6800.31
14,0.00044325828552246096,0.0007282614707946778,0.0,0.0011715197563171387,7117.82
15,0.0009033870697021484,0.00042840957641601565,0.0,0.001331796646118164,7432.07
16,0.00034825325012207033,0.0006248855590820313,0.0,0.0009731388092041016,7743.21
17,0.0009373784065246582,0.0003782916069030762,0.0,0.0013156700134277343,8050.92
18,0.0006903123855590821,0.0006907463073730468,0.0,0.0013810586929321289,8356.07
19,0.000708017349243164,0.0007738447189331054,0.0,0.0014818620681762693,8658.53
20,0.0007815980911254883,0.000739889144897461,0.0,0.0015214872360229492,8957.88
21,0.00031201839447021485,0.0010036563873291016,0.0,0.0013156747817993164,9255.37
22,0.0009968447685241699,0.0007490634918212891,0.0,0.001745908260345459,9549.99
23,0.0005509090423583984,0.0010095691680908202,9.799003601074219e-06,0.0015702772140502928,9842.55
24,0.0010025930404663087,0.0006905770301818847,0.0,0.0016931700706481934,10132.93
25,0.0009694004058837891,0.000891575813293457,1.3380050659179687e-05,0.0018743562698364258,10421.49
26,0.0007074880599975586,0.0008028364181518555,0.0,0.0015103244781494141,10707.81
27,0.0006898736953735351,0.0013154792785644532,0.0,0.0020053529739379886,10992.21
28,0.0010094761848449707,0.0009522175788879394,4.9591064453125e-07,0.0019621896743774415,11275.24
29,0.0008617019653320312,0.0009613943099975586,0.0,0.0018230962753295898,11556.17
30,0.0007513713836669922,0.0012824487686157226,0.0,0.0020338201522827146,11835.5
31,0.0010576057434082031,0.001199820041656494,0.0,0.0022574257850646972,12113.38
32,0.0012501716613769532,0.0007854413986206055,0.0,0.0020356130599975585,12389.68
33,0.0011962151527404785,0.0011871695518493653,0.0,0.0023833847045898436,12664.16
34,0.0009512853622436523,0.0013345074653625488,0.0,0.002285792827606201,12937.44
35,0.0011724209785461425,0.0014731454849243163,9.953975677490234e-06,0.002655520439147949,13209.54
36,0.0011131882667541504,0.0015819334983825683,0.00014522552490234375,0.0028403472900390627,13480.12
37,0.0010811018943786622,0.0016516566276550293,0.0,0.0027327585220336915,13749.47
38,0.0011891460418701173,0.0017071700096130372,9.963512420654297e-06,0.002906279563903809,14017.44
39,0.001617903709411621,0.0019388198852539062,0.0,0.0035567235946655272,14284.36
40,0.001273510456085205,0.0015188407897949218,0.0,0.002792351245880127,14550.16
41,0.0008851838111877441,0.002102041244506836,0.0,0.00298722505569458,14815.0
42,0.0008054518699645996,0.002210085391998291,9.95635986328125e-06,0.003025493621826172,15078.11
43,0.001197514533996582,0.0017679214477539062,0.0,0.002965435981750488,15340.85
44,0.0009997797012329102,0.002266838550567627,1.9431114196777345e-06,0.0032685613632202144,15602.21
45,0.0008906030654907227,0.0024584650993347166,0.0,0.003349068164825439,15862.68
